id,home,away,draw
17761448,0.4644444,0.2479449,0.2876107
17695487,0.35711044,0.35439473,0.28849486
17715496,0.40106517,0.31004247,0.28889233
17715493,0.17699592,0.57572734,0.24727666
17715492,0.4797685,0.23592433,0.28430718
17715490,0.47871995,0.23931055,0.28196952
17709178,0.48687404,0.24207655,0.2710494
17948950,0.5756076,0.17858988,0.24580255
17948206,0.3947343,0.34816962,0.25709608
17695488,0.3951854,0.3244664,0.2803482
17935492,0.14159325,0.69553,0.16287673
17935491,0.76419795,0.102184236,0.13361786
17948948,0.23130088,0.5193053,0.24939385
17900005,0.56170046,0.22011872,0.2181808
17933804,0.47260934,0.31166425,0.21572642
17933803,0.08908124,0.79201126,0.11890743
17933805,0.23334357,0.56070566,0.20595083
17696101,0.26412866,0.50260913,0.23326223
17935494,0.3962091,0.36731428,0.23647663
17993678,0.2774377,0.48087445,0.2416879
17766329,0.34794366,0.3480439,0.30401242
17947909,0.41312903,0.32336769,0.2635033
17766106,0.3557191,0.35507643,0.28920442
17870739,0.56486857,0.18980524,0.24532624
17870737,0.4648921,0.25058085,0.28452703
17947910,0.21291263,0.5600331,0.22705428
17870741,0.45831108,0.25742513,0.28426385
17870744,0.37558773,0.3347637,0.2896486
18031704,0.5709143,0.24067537,0.18841031
17769748,0.3772629,0.31524515,0.307492
18031705,0.3429145,0.4363448,0.2207407
17898527,0.5241512,0.23498881,0.24085994
17947911,0.38251162,0.341156,0.2763324
17777671,0.35760117,0.34508568,0.29731315
17766763,0.33253592,0.36855096,0.29891312
17766762,0.2717268,0.4555436,0.27272955
17766761,0.27095526,0.45772472,0.27132002
17903189,0.06760869,0.76668954,0.16570182
17766335,0.38687587,0.32802504,0.28509906
17766333,0.51327837,0.22158673,0.26513487
17766334,0.7151143,0.10005994,0.18482573
17766331,0.4544075,0.26217803,0.28341442
17766330,0.33106437,0.38258296,0.2863527
17707589,0.48875922,0.2561658,0.25507498
17707588,0.27542213,0.46655902,0.25801882
17707587,0.42825985,0.31461924,0.25712094
17707268,0.27409726,0.49208927,0.23381348
17707267,0.36999696,0.36282292,0.26718006
17696102,0.44861883,0.30705658,0.2443246
17766332,0.5583295,0.1896927,0.25197777
17668963,0.37393802,0.35345134,0.27261066
17707269,0.3908258,0.36204672,0.24712753
17898528,0.26207167,0.48539442,0.25253388
17898531,0.38551047,0.3674256,0.247064
17898530,0.3672973,0.36283916,0.26986355
17898529,0.34391132,0.38430277,0.27178597
17898399,0.36175215,0.3884744,0.24977341
17898532,0.5612138,0.21022601,0.22856018
17898397,0.35372108,0.38857657,0.25770232
17898396,0.4412145,0.3236543,0.23513122
17898395,0.24141511,0.51341474,0.24517019
17708606,0.3057054,0.43630487,0.2579897
17898398,0.3781139,0.35599515,0.26589096
17873721,0.18469933,0.6634008,0.15189986
